time,5,10,15
0,0.002,0.001,0.001
5,0.006,0.008,0.016
10,0.013,0.022,0.032
15,0.02,0.028,0.049
20,0.026,0.038,0.061
25,0.032,0.046,0.072
30,0.038,0.054,0.084
35,0.044,0.063,0.094
40,0.049,0.069,0.103
45,0.054,0.075,0.112
50,0.059,0.081,0.12
55,0.065,0.088,0.128
60,0.068,0.095,0.135
