dilution,signal
1,1085255
3,725625
9,192636
27,48279
81,9051
243,3329
729,2177
2187,1844
1,1049834
3,680161
9,205061
27,51083
81,11110
243,3521
729,2145
2187,1608
1,1059266
3,711990
9,201696
27,46329
81,8996
243,3401
729,1976
2187,2062
1,1008852
3,680688
9,196960
27,45157
81,9886
243,3413
729,1681
