time,NADH
0,0.00622
5,0.04976
10,0.13684
15,0.17416
20,0.23636
25,0.28612
30,0.33587999999999996
35,0.39186
40,0.42918
45,0.46649999999999997
50,0.50382
55,0.54736
60,0.5909
