protein_ug,protein_ul,buffer_ul,water_ul,OD595
0,0,150,1350,0
0,0,150,1350,0.001
7,6.73,143.27,1350,0.243
12,11.54,138.46,1350,0.371
20,19.23,130.77,1350,0.564
30,28.85,121.15,1350,0.727
