time,NADH_drc,NADH_nls
1,0.013398644366726553,0.013967343763079398
2,0.026168225460476036,0.027739600834362665
3,0.03881083661798512,0.0413194960567379
4,0.051327740321130744,0.05470971621427556
5,0.06372018649873601,0.06791291056380966
6,0.07598941265138648,0.08093169135909295
7,0.08813664397500665,0.09376863436763239
8,0.10016309348320673,0.10642627938030458
9,0.11206996212841336,0.11890713071385373
10,0.12385843892179593,0.13121365770637128
11,0.13552970105200068,0.14334829520585468
12,0.14708491400270307,0.15531344405194247
13,0.1585252316689929,0.16711147155092054
14,0.16985179647260118,0.17874471194409414
15,0.18106573947598137,0.19021546686961777
16,0.1921681804952564,0.2015260058178745
17,0.20316022821204338,0.21267856658049522
18,0.21404298028416457,0.22367535569310593
19,0.22481752345525974,0.2345185488718906
20,0.23548493366330703,0.2452102914440577
21,0.2460462761480654,0.255752698772293
22,0.2565026055574491,0.26614785667328444
23,0.2668549660528432,0.2763978218304013
24,0.2771043914133735,0.2865046222006091
25,0.2872519051391389,0.2964702574157013
26,0.297298520553417,0.306296699177927
27,0.3072452409038542,0.3159858916500917
28,0.31709305946264876,0.3255397518402111
29,0.32684295962573895,0.3349601699807906
30,0.3364959150110036,0.3442490099028088
31,0.3460528895554873,0.353408109404476
32,0.35551483761165836,0.362439280614843
33,0.36488270404270917,0.3713443103523316
34,0.3741574243169108,0.3801249604782564
35,0.3833399246010265,0.38878296824540903
36,0.39243112185280005,0.39732004664177434
37,0.40143192391252047,0.4057378847294453
38,0.4103432295936795,0.4140381479788039
39,0.4191659287727263,0.4222224785980345
40,0.4279009024779298,0.43029249585803564
41,0.436549022977357,0.4382497964127925
42,0.44511115386597777,0.44609595461527474
43,0.45358815015190257,0.4538325228289236
44,0.4619808583417627,0.4614610317347858
45,0.47029011652524233,0.4689829906343601
46,0.47851675445876896,0.4763998877482124
47,0.48666159364837247,0.48371319051041994
48,0.4947254474317203,0.49092434585890443
49,0.5027091210593364,0.4980347805217076
50,0.5106134117750136,0.5050459012992705
51,0.518439108895425,0.5119590953427686
52,0.5261869938889454,0.5187757304285605
53,0.5338578404536867,0.5254971552288015
54,0.5414524145947609,0.53212469957828
55,0.5489714747007712,0.5386596747375241
56,0.5564157716195447,0.5451033736522359
57,0.5637860487331112,0.5514570712091003
58,0.5710830420319375,0.5577220244880211
59,0.5783074801884226,0.5638994730108358
60,0.585460084629661,0.5699906389865534
61,0.592541569609487,0.5759967275531703
62,0.5995526422797957,0.5819189270161058
63,0.6064940027611616,0.587758409083309
64,0.6133663442127512,0.5935163290970811
65,0.6201703529015412,0.5991938262626606
66,0.6269067082708485,0.6047920238736144
67,0.6335760830081794,0.6103120295340826
68,0.6401791431124034,0.6157549353779168
69,0.6467165479602592,0.62112181828476
70,0.6531889503721996,0.6264137400931074
71,0.6595969966775823,0.6316317478103899
72,0.6659413267792111,0.6367768738201269
73,0.6722225742172369,0.6418501360861816
74,0.6784413662324215,0.6468525383541659
75,0.6845983238287734,0.6517850703500322
76,0.6906940618355635,0.6566487079758898
77,0.6967291889687173,0.661444413503088
78,0.7027043078916035,0.6661731357626013
79,0.7086200152752156,0.6708358103327559
80,0.7144769018577534,0.6754333597243337
81,0.7202755525036159,0.6799666935630917
82,0.7260165462618025,0.6844367087697308
83,0.7317004564237395,0.6888442897373528
84,0.7373278505805262,0.6931903085064363
85,0.7428992906796164,0.6974756249373713
86,0.7484153330809308,0.7017010868805817
87,0.7538765286124184,0.7058675303442736
88,0.7592834226250593,0.7099757796598386
89,0.764636555047323,0.7140266476449486
90,0.7699364604390877,0.7180209357643719
91,0.7751836680450179,0.7219594342885424
92,0.7803787018474168,0.7258429224499154
93,0.7855220806185492,0.7296721685971386
94,0.7906143179724464,0.7334479303470701
95,0.7956559224161959,0.7371709547346729
96,0.8006473974007192,0.7408419783608156
97,0.8055892413710476,0.7444617275380097
98,0.810481947816095,0.7480309184341096
99,0.8153260053179378,0.7515502572140078
100,0.820121897600606,0.7550204401793484
101,0.8248701035783846,0.7584421539062914
102,0.8295710974036397,0.7618160753813512
103,0.8342253485141675,0.7651428721353393
104,0.8388333216800693,0.7684232023754345
105,0.8433954770501658,0.7716577151154098
106,0.8479122701979461,0.7748470503040399
107,0.8523841521670611,0.7779918389517146
108,0.8568115695163641,0.7810927032552852
109,0.8611949643645035,0.7841502567211651
110,0.865534774434075,0.7871651042867129
111,0.8698314330953275,0.7901378424399196
112,0.8740853694094446,0.7930690593374228
113,0.8782970081713863,0.7959593349208743
114,0.8824667699523098,0.7988092410316818
115,0.886595071141568,0.8016193415241472
116,0.8906823239882901,0.8043901923770254
117,0.8947289366425472,0.8071223418035254
118,0.8987353131961109,0.8098163303597732
119,0.9027018537228052,0.8124726910517622
120,0.9066289543184576,0.8150919494408074
121,0.9105170071404537,0.8176746237475285
122,0.9143664004468958,0.8202212249543795
123,0.918177518635376,0.822732256906747
124,0.9219507422813622,0.8252082164126358
125,0.9256864481761992,0.8276495933409622
126,0.9293850093647377,0.8300568707184756
127,0.9330467951825852,0.8324305248253241
128,0.936672171292988,0.8347710252892875
129,0.9402614997233448,0.8370788351786932
130,0.9438151389013606,0.8393544110940336
131,0.9473334436908366,0.8415982032583056
132,0.9508167654271088,0.8438106556060863
133,0.9542654519521306,0.8459922058713661
134,0.9576798476492091,0.8481432856741543
135,0.9610602934773943,0.8502643206058751
136,0.9644071270055269,0.8523557303135711
137,0.9677206824459479,0.8544179285829302
138,0.9710012906878738,0.8564513234201536
139,0.9742492793304364,0.8584563171326794
140,0.9774649727154001,0.8604333064087796
141,0.980648691959548,0.8623826823960445
142,0.9838007549867477,0.8643048307787718
143,0.9869214765597011,0.866200131854274
144,0.9900111683113763,0.86806896060812
145,0.9930701387761248,0.8699116867883268
146,0.9960986934204937,0.8717286749785134
147,0.9990971346737284,0.8735202846700341
148,1.0020657619579731,0.87528687033310415
149,1.0050048717181712,0.8770287814869312
150,1.0079147574516671,0.878746362768868
