s,v
0.02,0.0176033057851242
0.04,0.0392975206611571
0.08,0.0529338842975206
0.107,0.0498347107438019
0.107,0.0679338842975211
0.16,0.0815702479338844
0.2,0.0860330578512395
0.4,0.107479338842975
0.8,0.109710743801653
1.07,0.106487603305785
1.07,0.097190082644628
1.6,0.105619834710744
2,0.111446280991736
