sample,protein_ug,protein_ul,water_ul,OD750
Контроль-1,0,0,1000,0
Контроль-2,0,0,1000,0
1,10,10,990,0.09
2,20,20,980,0.186
3,30,30,970,0.262
4,40,40,960,0.338
5,50,50,950,0.427
